StockSymbol,PE,change_pct,last,short_ratio,time
AAPL,18.22,+0.37%,160.47,1.9,4:00pm
GOOGL,36.64,+0.16%,1011.0,1.45,4:00pm
AMZN,256.65,+0.28%,1009.13,1.21,4:00pm
FB,39.42,+0.91%,176.11,0.97,4:00pm
SSNLF,11.7,+0.00%,2150.0,0.0,3:34pm
MSFT,28.63,-0.08%,77.59,1.95,4:00pm
SNE,38.77,-0.27%,36.95,2.08,4:02pm
IBM,12.16,-0.20%,146.54,5.26,4:00pm
NTDOY,N/A,-2.01%,48.68,0.0,3:58pm
ORCL,21.4,+0.68%,49.19,1.84,4:00pm
VMW,41.61,+0.39%,115.6,17.5,4:02pm
INTC,15.19,+0.08%,39.79,4.17,4:00pm
HPQ,15.66,-1.10%,21.55,2.44,4:03pm
DVMT,N/A,-0.14%,80.99,2.02,4:01pm
CSCO,17.68,+0.18%,33.6,2.31,4:00pm
ADBE,47.27,-0.05%,150.38,2.72,4:00pm
SAP,32.28,-0.45%,111.34,6.51,4:02pm
LNVGY,22.12,-0.43%,11.5,0.0,3:59pm
RHT,72.48,+0.19%,121.12,0.0,4:04pm
SYMC,N/A,-0.16%,32.01,3.2,4:00pm
TWTR,N/A,-0.27%,18.28,3.63,4:00pm
ATNY,N/A,+0.00%,2.0,0.0,4:00pm
ACTS,N/A,-100.00%,2.14,N/A,N/A
ATVI,41.63,+0.29%,61.66,1.58,4:00pm
IOTS,N/A,-3.75%,7.7,7.04,4:00pm
ADRO,N/A,+1.58%,9.65,17.19,4:00pm
AMD,N/A,-0.70%,14.16,1.81,4:00pm
ADVS,N/A,+0.00%,N/A,0.0,3:59pm
ZBRA,N/A,+0.65%,110.88,3.04,4:00pm
XPLR,N/A,+1.22%,3.33,3.23,4:00pm
XBIT,N/A,-0.90%,4.41,35.18,4:00pm
WIX,N/A,+0.65%,69.35,0.92,4:00pm
WBMD,34.04,+0.02%,66.48,2.59,4:00pm
VNOM,25.33,-0.83%,19.15,0.5,4:00pm
VIA,9.34,+0.59%,33.95,12.06,3:59pm
VECO,N/A,+1.16%,21.75,9.99,4:00pm
UPLD,N/A,-0.65%,21.33,1.05,4:00pm
UBNT,19.26,+0.71%,59.51,29.06,4:00pm
UFPT,24.19,-1.16%,29.75,1.63,4:00pm
TYME,N/A,-0.48%,4.17,0.0,3:59pm
TRIV,N/A,+0.00%,5.87,0.0,5:00pm
TRIP,61.06,+1.61%,40.36,8.49,4:00pm
TGA,N/A,-1.25%,1.58,2.72,4:00pm
TSI,N/A,-1.22%,5.69,0.0,4:02pm
TESS,55.83,-0.74%,13.4,0.94,4:00pm
AIR,22.98,-0.39%,38.24,5.83,4:02pm
ATEN,N/A,-0.39%,7.6,1.45,4:02pm
AQN,61.51,+0.92%,11.01,7.4,3:59pm
DDD,N/A,-0.17%,11.6,9.24,4:02pm
WUBA,362.11,+0.48%,68.8,7.4,4:02pm
ASX,13.98,-1.41%,6.29,2.99,4:02pm
A,47.23,-1.18%,66.12,1.72,4:01pm
AYX,N/A,-0.56%,21.13,4.72,4:01pm
AMBR,N/A,-2.01%,8.28,5.89,4:01pm
AEE,22.74,+0.51%,60.95,3.86,4:00pm
BHE,25.96,-0.56%,35.3,2.87,4:02pm
BIO,432.69,-1.80%,218.94,4.52,4:02pm
CPL,37.71,+0.23%,17.27,2.32,4:02pm
CTS,28.05,-0.78%,25.55,4.68,4:02pm
CMI,19.75,+0.34%,174.72,2.68,4:01pm
DGI,1011.76,-100.00%,34.4,5.47,N/A
D,22.85,-0.09%,78.96,10.05,4:00pm
HEI,43.72,-0.57%,89.28,14.19,4:02pm
ASUR,N/A,+0.25%,12.08,7.48,4:00pm
AVID,117.18,+0.22%,4.57,24.2,4:00pm
EPAY,N/A,-0.24%,32.63,6.37,4:00pm
CBAK,N/A,+0.00%,1.8,9.17,4:00pm
CPSH,N/A,-1.327%,1.115,2.2,3:59pm
CYAN,N/A,+4.26%,4.9,1.69,3:25pm
DBVT,N/A,+2.81%,49.35,3.18,4:00pm
DELT,N/A,+1.65%,1.23,0.19,3:57pm
EDGW,N/A,-0.15%,6.52,1.18,3:59pm
XELA,N/A,-4.36%,5.49,0.0,3:59pm
FALC,N/A,+0.00%,0.26,1.72,3:59pm
SVVC,N/A,+0.12%,8.04,0.0,3:57pm
FBIO,N/A,+0.23%,4.43,20.13,4:00pm
GEOS,N/A,-0.86%,17.33,26.17,4:00pm
QQQC,N/A,-0.85%,30.22,N/A,4:00pm
GPRO,N/A,+1.65%,9.23,15.12,4:00pm
MRVL,35.58,+0.49%,18.36,1.11,4:00pm
MZOR,N/A,+1.78%,54.98,6.05,4:00pm
BKFS,75.93,-1.26%,43.05,16.53,4:02pm
BA,22.66,-0.44%,258.62,3.41,4:00pm
CAJ,21.78,-0.25%,35.68,3.8,4:02pm
CRY,61.82,+0.49%,20.4,3.74,4:02pm
CUB,N/A,-1.05%,51.9,16.61,4:02pm
DGI,1011.76,-100.00%,34.4,5.47,N/A
GME,5.92,+1.29%,19.66,15.29,4:02pm
GM,7.83,-1.62%,45.02,2.22,4:00pm
GNE,N/A,+0.63%,6.39,9.65,4:02pm
ASR,231.85,+4.23%,187.57,1.35,4:02pm
PAC,20.77,+2.48%,98.45,1.7,4:02pm
MDT,26.25,+0.35%,78.0,1.86,4:00pm
MTD,40.72,-0.71%,662.22,4.44,4:02pm
MIXT,25.37,+1.50%,10.15,1.78,4:02pm
MULE,N/A,-0.98%,22.26,2.75,4:02pm
NC,7.02,-1.62%,36.4,6.5,4:02pm
NPTN,N/A,+0.00%,4.75,13.35,4:02pm
NXPI,20.45,+0.18%,115.15,2.12,4:00pm
NSTG,N/A,+3.08%,10.39,8.01,4:00pm
UEPS,7.06,+0.64%,9.39,1.07,4:00pm
